SNP	key	chrom_x	position_x	tmfi_rsid	tmfi_beta	tmfi_se	tmfi_n	tmfi_af	chrom_y	position_y	bmi_rsid	bmi_beta	bmi_se	bmi_n	bmi_af	chrom	position	out_rsid	out_beta	out_se	out_n	out_af
rs10968576	9028414339	9	28414339	rs10968576	0.0244911	0.0143177	46347	0.323538	9	28414339	rs10968576	0.0249	0.0033	322061.0	0.2917	9	28414300.0	rs10968576	0.000362129	0.000959053	429737	0.322038
rs1075403	19018384950	19	18384950	rs1075403	-0.102813	0.0138886	46347	0.636125	19	18384950	rs1075403	-0.0016	0.0032	321845.0	0.6583	19	18385000.0	rs1075403	-0.000884055	0.0009320119999999999	429737	0.632707
rs737250	13050251539	13	50251539	rs737250	0.109648	0.0151454	46320	0.735557	13	50251539	rs737250	0.0045	0.0043	234000.0	0.6333	13	50251500.0	rs737250	-0.00114108	0.00102364	429737	0.738108
rs657452	1049589847	1	49589847	rs657452	-0.0231091	0.0138085	45663	0.610045	1	49589847	rs657452	-0.0227	0.0031	313651.0	0.5833	1	49589800.0	rs657452	0.000966482	0.0009235249999999999	429737	0.608808
rs1105797	9133051139	9	133051139	rs1105797	0.0967812	0.0135167	45425	0.512691	9	133051139	rs1105797	-0.0039	0.0038	233978.0	0.4917	9	133051000.0	rs1105797	0.000398939	0.000901793	429737	0.512571
rs12429545	13054102206	13	54102206	rs12429545	0.0156102	0.0200946	45587	0.128951	13	54102206	rs12429545	0.0334	0.0047	312934.0	0.1	13	54102200.0	rs12429545	0.00203135	0.00134749	429737	0.129723
rs12286929	11115022404	11	115022404	rs12286929	0.0131592	0.0134036	46262	0.526393	11	115022404	rs12286929	0.0217	0.0031	321903.0	0.4333	11	115022000.0	rs12286929	0.000666502	0.000900782	429737	0.526847
rs2138157	2227103717	2	227103717	rs2138157	-0.0988991	0.0139809	46232	0.649626	2	227103717	rs2138157	-0.0133	0.0032	316069.0	0.6167	2	227104000.0	rs2138157	0.000503892	0.000940728	429737	0.64872
rs13107325	4103188709	4	103188709	rs13107325	0.133114	0.0260851	46347	0.070846	4	103188709	rs13107325	0.0477	0.0068	321461.0	0.1167	4	103189000.0	rs13107325	0.00539895	0.00170829	429737	0.074831
rs11165643	1096924097	1	96924097	rs11165643	0.0216868	0.0136383	46194	0.592869	1	96924097	rs11165643	0.0218	0.0031	320730.0	0.575	1	96924100.0	rs11165643	-0.00188231	0.0009136520000000001	429737	0.591556
rs11678046	2072190463	2	72190463	rs11678046	0.0979796	0.0139865	45079	0.618004	2	72190463	rs11678046	0.0038	0.004	232392.0	0.6	2	72190500.0	rs11678046	-0.00149603	0.000926317	429737	0.613263
rs6656785	1075005776	1	75005776	rs6656785	-0.0031294	0.0136914	46185	0.393115	1	75005776	rs6656785	0.0217	0.0031	321410.0	0.3833	1	75005800.0	rs6656785	-0.000490983	0.000919989	429737	0.391987
rs7903146	10114758349	10	114758349	rs7903146	0.0182927	0.014678	46347	0.291033	10	114758349	rs7903146	-0.0234	0.0034	322130.0	0.25	10	114758000.0	rs7903146	4.09624e-05	0.000988298	429737	0.290446
rs10132280	14025928179	14	25928179	rs10132280	0.00583263	0.0147063	45477	0.300196	14	25928179	rs10132280	-0.023	0.0034	321797.0	0.3333	14	25928200.0	rs10132280	-0.000566153	0.0009834	429737	0.301459
rs1016287	2059305625	2	59305625	rs1016287	-0.0144559	0.0145938	46248	0.700819	2	59305625	rs1016287	-0.0229	0.0034	321969.0	0.675	2	59305600.0	rs1016287	0.000258314	0.00098261	429737	0.700989
rs10840100	11008669437	11	8669437	rs10840100	0.0232183	0.0140245	46196	0.653433	11	8669437	rs10840100	0.0209	0.0031	322069.0	0.725	11	8669440.0	rs10840100	-6.76357e-05	0.000945863	429737	0.655698
rs2903940	20045796660	20	45796660	rs2903940	0.0893253	0.0134461	45427	0.500374	20	45796660	rs2903940	-0.0112	0.0031	321229.0	0.475	20	45796700.0	rs2903940	0.00043118400000000004	0.0009016249999999999	429737	0.498436
rs8097783	18058051294	18	58051294	rs8097783	0.000811798	0.0258771	46347	0.0717522	18	58051294	rs8097783	-0.0398	0.006	321916.0	0.1167	18	58051300.0	rs8097783	8.59702e-05	0.00172785	429737	0.072791
rs2588785	8076636191	8	76636191	rs2588785	-0.00601271	0.0150212	46340	0.270058	8	76636191	rs2588785	-0.0227	0.0034	322082.0	0.3167	8	76636200.0	rs2588785	8.44197e-05	0.00101236	429737	0.269447
rs1412956	20045557017	20	45557017	rs1412956	-0.0906843	0.0138295	44510	0.422849	20	45557017	rs1412956	-0.0118	0.0038	233979.0	0.3917	20	45557000.0	rs1412956	0.00019601799999999998	0.000915641	429737	0.426985
rs17094222	10102395440	10	102395440	rs17094222	0.00710025	0.0163603	45997	0.213144	10	102395440	rs17094222	0.0249	0.0038	321770.0	0.2083	10	102395000.0	rs17094222	-0.000297231	0.00110017	429737	0.213255
rs7599312	2213413231	2	213413231	rs7599312	-0.00585776	0.0153534	44940	0.266767	2	213413231	rs7599312	-0.022	0.0034	322024.0	0.2917	2	213413000.0	rs7599312	0.00289574	0.00102268	429737	0.26804
rs205262	6034563164	6	34563164	rs205262	0.0077142	0.015051	46267	0.266259	6	34563164	rs205262	0.0221	0.0035	315542.0	0.2667	6	34563200.0	rs205262	0.00120496	0.00101288	429737	0.268491
rs2820292	1201784287	1	201784287	rs2820292	0.0479805	0.0133949	46347	0.564578	1	201784287	rs2820292	0.0195	0.0031	321707.0	0.5083	1	201784000.0	rs2820292	0.000617912	0.0009059920000000001	429737	0.5662
rs9926784	16019941968	16	19941968	rs9926784	-0.0458684	0.017369	46347	0.181954	16	19941968	rs9926784	-0.0265	0.0042	316274.0	0.2083	16	19942000.0	rs9926784	-0.00181792	0.00115957	429737	0.183548
rs6738097	2101578542	2	101578542	rs6738097	-0.121716	0.0191813	46294	0.141671	2	101578542	rs6738097	-0.0075	0.0053	233980.0	0.1583	2	101579000.0	rs6738097	0.0008360359999999999	0.00129367	429737	0.140262
rs11822234	11074385146	11	74385146	rs11822234	-0.0858175	0.0135819	46347	0.404924	11	74385146	rs11822234	-0.0071	0.0038	233069.0	0.45	11	74385100.0	rs11822234	0.0015532	0.0009143619999999999	429737	0.407824
rs6807940	3038460062	3	38460062	rs6807940	-0.0859553	0.0136484	46347	0.607375	3	38460062	rs6807940	0.0101	0.0038	233402.0	0.7083	3	38460100.0	rs6807940	-0.000769986	0.000917817	429737	0.605554
rs16851483	3141275436	3	141275436	rs16851483	0.025656	0.026915	46332	0.0658724	3	141275436	rs16851483	0.0483	0.0077	233929.0	0.0917	3	141275000.0	rs16851483	0.00183185	0.00180939	429737	0.066024
rs1150752	6032064726	6	32064726	rs1150752	0.122757	0.0196202	46347	0.132738	6	32064726	rs1150752	0.0115	0.0058	272201.0	0.1	6	32064700.0	rs1150752	0.00221674	0.00132947	429737	0.131049
rs17757020	1210396557	1	210396557	rs17757020	-0.148839	0.0240568	46096	0.0853545	1	210396557	rs17757020	-0.0065	0.0054	304766.0	0.08333	1	210397000.0	rs17757020	0.0076751	0.00160577	429737	0.086485
rs1928295	9120378483	9	120378483	rs1928295	-0.0196649	0.0134618	46341	0.429954	9	120378483	rs1928295	-0.0188	0.0031	321979.0	0.425	9	120378000.0	rs1928295	-2.3683400000000004e-05	0.000906376	429737	0.430631
rs879620	16004015729	16	4015729	rs879620	0.0300927	0.0137297	45961	0.613792	16	4015729	rs879620	0.0244	0.004	233835.0	0.5917	16	4015730.0	rs879620	0.000795087	0.0009254969999999998	429737	0.613796
rs2337143	18046482070	18	46482070	rs2337143	-0.0867356	0.0143149	44677	0.657318	18	46482070	rs2337143	0.0013	0.0042	230639.0	0.6667	18	46482100.0	rs2337143	0.00164457	0.00095592	429737	0.659158
rs11655984	17070240665	17	70240665	rs11655984	-0.0958477	0.0158928	46266	0.229002	17	70240665	rs11655984	0.0002	0.0062	170917.0	0.2083	17	70240700.0	rs11655984	0.00209065	0.00106875	429737	0.22988
rs1260326	2027730940	2	27730940	rs1260326	-0.0817838	0.0136883	46347	0.608874	2	27730940	rs1260326	0.0124	0.0032	314594.0	0.6	2	27730900.0	rs1260326	-0.00208167	0.000918185	429737	0.605985
rs6804842	3025106437	3	25106437	rs6804842	0.0290555	0.0135825	45759	0.574018	3	25106437	rs6804842	0.0185	0.0031	321463.0	0.575	3	25106400.0	rs6804842	9.75988e-05	0.0009104979999999999	429737	0.574329
rs1671064	11066327673	11	66327673	rs1671064	-0.0797454	0.0133836	46347	0.551826	11	66327673	rs1671064	-0.0039	0.0037	233965.0	0.5417	11	66327700.0	rs1671064	0.000572797	0.000903283	429737	0.55246
rs4771122	13028020180	13	28020180	rs4771122	-0.0268371	0.0158604	46347	0.77115	13	28020180	rs4771122	-0.0274	0.0046	233408.0	0.7417	13	28020200.0	rs4771122	0.000478	0.0010698	429737	0.774225
rs10501845	11095947284	11	95947284	rs10501845	0.129933	0.0218683	45837	0.105373	11	95947284	rs10501845	-0.0026	0.0062	233777.0	0.15	11	95947300.0	rs10501845	-0.00072951	0.00147599	429737	0.105135
rs1167800	7075176196	7	75176196	rs1167800	0.0254484	0.0134512	46347	0.554987	7	75176196	rs1167800	0.0195	0.0033	290898.0	0.5167	7	75176200.0	rs1167800	-0.00235789	0.0009046369999999999	429737	0.559149
rs7098100	10021834536	10	21834536	rs7098100	0.0830072	0.0140776	46347	0.337001	10	21834536	rs7098100	0.0122	0.0041	222164.0	0.3083	10	21834500.0	rs7098100	0.0017963299999999998	0.000947602	429737	0.339504
rs905938	1154991389	1	154991389	rs905938	-0.0893713	0.0152242	46347	0.265325	1	154991389	rs905938	0.0143	0.0037	321732.0	0.325	1	154991000.0	rs905938	-0.000115066	0.00101784	429737	0.264899
rs4740619	9015634326	9	15634326	rs4740619	-0.0322762	0.0134214	46264	0.450534	9	15634326	rs4740619	-0.0179	0.0031	321887.0	0.4667	9	15634300.0	rs4740619	0.000996972	0.0009031219999999999	429737	0.448874
rs13191362	6163033350	6	163033350	rs13191362	-0.0146839	0.0203276	46177	0.125116	6	163033350	rs13191362	-0.0277	0.0048	321902.0	0.2	6	163033000.0	rs13191362	-0.00454458	0.00136345	429737	0.124685
rs3736485	15051748610	15	51748610	rs3736485	-0.0100668	0.0135211	45887	0.542191	15	51748610	rs3736485	-0.0176	0.0031	321398.0	0.575	15	51748600.0	rs3736485	-0.00172377	0.000904561	429737	0.538988
rs17001654	4077129568	4	77129568	rs17001654	0.0559706	0.0193298	45168	0.143442	4	77129568	rs17001654	0.0306	0.0053	233722.0	0.1583	4	77129600.0	rs17001654	-0.000552773	0.00127911	429737	0.148394
rs12986742	2058975143	2	58975143	rs12986742	0.00612172	0.0135089	45364	0.476865	2	58975143	rs12986742	0.0212	0.0037	233833.0	0.5	2	58975100.0	rs12986742	-0.000609864	0.000903703	429737	0.47601
rs1528435	2181550962	2	181550962	rs1528435	0.0187352	0.0137656	46231	0.617302	2	181550962	rs1528435	0.0178	0.0031	321924.0	0.5833	2	181551000.0	rs1528435	0.00153548	0.000926847	429737	0.62074
rs1000940	17005283252	17	5283252	rs1000940	-0.0036956	0.0145392	46274	0.302481	17	5283252	rs1000940	0.0192	0.0034	321836.0	0.225	17	5283250.0	rs1000940	-0.000815944	0.000980697	429737	0.301427
rs9304665	19047602577	19	47602577	rs9304665	0.0087438	0.0157164	46191	0.763872	19	47602577	rs9304665	0.0249	0.0044	232644.0	0.7	19	47602600.0	rs9304665	-0.000455262	0.00105992	429737	0.764381
rs11057405	12122781897	12	122781897	rs11057405	-0.0279661	0.0216738	46347	0.106102	12	122781897	rs11057405	-0.0307	0.0055	314111.0	0.0917	12	122782000.0	rs11057405	-0.000525877	0.00146414	429737	0.105147
rs2121279	2143043285	2	143043285	rs2121279	0.0305324	0.0201049	46062	0.126655	2	143043285	rs2121279	0.0245	0.0044	322065.0	0.1167	2	143043000.0	rs2121279	-0.00240968	0.0013594699999999998	429737	0.125698
rs29941	19034309532	19	34309532	rs29941	0.0178653	0.0142634	46347	0.672179	19	34309532	rs29941	0.0182	0.0033	321970.0	0.6667	19	34309500.0	rs29941	0.000539632	0.0009602440000000001	429737	0.673667
rs3744311	17070407856	17	70407856	rs3744311	0.0782027	0.0140269	46347	0.344294	17	70407856	rs3744311	0.0048	0.0036	293635.0	0.2833	17	70407900.0	rs3744311	0.000117588	0.000945999	429737	0.342298
rs11727676	4145659064	4	145659064	rs11727676	0.027491	0.0227881	46347	0.0948605	4	145659064	rs11727676	-0.0358	0.0064	296401.0	0.075	4	145659000.0	rs11727676	0.0030932	0.00152123	429737	0.096241
rs6477694	9111932342	9	111932342	rs6477694	0.00841498	0.0140768	45681	0.646056	9	111932342	rs6477694	-0.0174	0.0031	322048.0	0.6417	9	111932000.0	rs6477694	-0.000222159	0.000942101	429737	0.646673
rs12626122	20033425800	20	33425800	rs12626122	-0.0767172	0.01382	45956	0.376142	20	33425800	rs12626122	0.0156	0.0044	179514.0	0.4298	20	33425800.0	rs12626122	-0.0019158000000000003	0.000929499	429737	0.374881
rs7899106	10087410904	10	87410904	rs7899106	0.0303269	0.0305491	46187	0.0499816	10	87410904	rs7899106	0.0395	0.0071	321770.0	0.05	10	87410900.0	rs7899106	-0.00134074	0.00205695	429737	0.050614
rs2176598	11043864278	11	43864278	rs2176598	-0.0383355	0.0155715	46347	0.755615	11	43864278	rs2176598	-0.0198	0.0036	316848.0	0.8	11	43864300.0	rs2176598	-0.00111565	0.00104209	429737	0.753519
rs17724992	19018454825	19	18454825	rs17724992	-0.0150304	0.0150641	45859	0.26962	19	18454825	rs17724992	-0.0194	0.0035	319588.0	0.3083	19	18454800.0	rs17724992	-0.00207915	0.00101687	429737	0.267243
rs3800229	6108996963	6	108996963	rs3800229	0.00609229	0.0147607	46059	0.712988	6	108996963	rs3800229	0.0183	0.0033	322014.0	0.6917	6	108997000.0	rs3800229	-0.001829	0.0009983	429737	0.714979
rs11781222	8023389571	8	23389571	rs11781222	-0.10661	0.0194393	45816	0.13803	8	23389571	rs11781222	-0.0138	0.0047	321666.0	0.175	8	23389600.0	rs11781222	0.000321088	0.00130745	429737	0.137874
rs1808579	18021104888	18	21104888	rs1808579	-0.0138709	0.0133624	46234	0.489423	18	21104888	rs1808579	-0.0167	0.0031	322032.0	0.475	18	21104900.0	rs1808579	9.368019999999998e-05	0.0008991299999999999	429737	0.48302
rs11625865	14105644421	14	105644421	rs11625865	-0.074708	0.0136725	46347	0.61128	14	105644421	rs11625865	-0.0031	0.0042	216701.0	0.6167	14	105644000.0	rs11625865	0.00170258	0.000921022	429737	0.609776
rs2033732	8085079709	8	85079709	rs2033732	0.0228838	0.0153454	46347	0.745399	8	85079709	rs2033732	0.0192	0.0035	321406.0	0.7583	8	85079700.0	rs2033732	-0.00146742	0.00103069	429737	0.744571
